"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"23/09/2022","09:00","4300,00","235,04","237,16"
"23/09/2022","10:00","3977,00","217,38","219,35"
"23/09/2022","11:00","4000,01","218,64","220,61"
"23/09/2022","12:00","3359,97","183,66","185,31"
"23/09/2022","13:00","2749,99","150,31","151,67"
"23/09/2022","14:00","3359,98","183,66","185,31"
"23/09/2022","15:00","3593,00","196,39","198,17"
"23/09/2022","16:00","3962,95","216,62","218,57"
"23/09/2022","17:00","4175,00","228,21","230,27"
"23/09/2022","18:00","4087,36","223,42","225,43"
"23/09/2022","19:00","4464,00","244,00","246,21"
"23/09/2022","20:00","4087,35","223,41","225,43"
"23/09/2022","21:00","3274,99","179,01","180,63"
"23/09/2022","22:00","3804,59","207,96","209,84"
"23/09/2022","23:00","3255,99","177,97","179,58"
"24/09/2022","00:00","4150,64","226,32","229,59"
"24/09/2022","01:00","4289,18","233,87","237,25"
"24/09/2022","02:00","2750,00","149,94","152,11"
"24/09/2022","03:00","4389,00","239,31","242,77"
"24/09/2022","04:00","3800,01","207,20","210,19"
"24/09/2022","05:00","3929,76","214,27","217,37"
"24/09/2022","06:00","3750,32","204,49","207,45"
"24/09/2022","07:00","2749,98","149,94","152,11"
"24/09/2022","08:00","4426,59","241,36","244,85"
"24/09/2022","09:00","4249,99","231,73","235,09"
"24/09/2022","10:00","4250,00","231,73","235,09"
"24/09/2022","11:00","3360,00","183,21","185,86"
"24/09/2022","12:00","2749,99","149,94","152,11"
"24/09/2022","13:00","3499,98","190,84","193,60"
"24/09/2022","14:00","3359,98","183,20","185,86"
"24/09/2022","15:00","3359,98","183,20","185,86"
"24/09/2022","16:00","3359,98","183,20","185,86"
"24/09/2022","17:00","3359,97","183,20","185,85"
"24/09/2022","18:00","4500,00","245,36","248,91"
"24/09/2022","19:00","4800,00","261,72","265,51"
"24/09/2022","20:00","4749,99","258,99","262,74"
"24/09/2022","21:00","4499,99","245,36","248,91"
"24/09/2022","22:00","3861,91","210,57","213,62"
"24/09/2022","23:00","2749,98","149,94","152,11"
"25/09/2022","00:00","3849,23","209,54","214,52"
"25/09/2022","01:00","3688,79","200,80","205,58"
"25/09/2022","02:00","4237,00","230,65","236,14"
"25/09/2022","03:00","3500,00","190,53","195,06"
"25/09/2022","04:00","3000,00","163,31","167,20"
"25/09/2022","05:00","3929,59","213,91","219,00"
"25/09/2022","06:00","3924,99","213,66","218,75"
"25/09/2022","07:00","2750,01","149,70","153,26"
"25/09/2022","08:00","2498,98","136,03","139,27"
"25/09/2022","09:00","2000,01","108,87","111,46"
"25/09/2022","10:00","2498,98","136,03","139,27"
"25/09/2022","11:00","2498,98","136,03","139,27"
"25/09/2022","12:00","2498,98","136,03","139,27"
"25/09/2022","13:00","2749,99","149,70","153,26"
"25/09/2022","14:00","2750,01","149,70","153,26"
"25/09/2022","15:00","2750,00","149,70","153,26"
"25/09/2022","16:00","4000,01","217,74","222,93"
"25/09/2022","17:00","4250,00","231,35","236,86"
"25/09/2022","18:00","4799,98","261,29","267,51"
"25/09/2022","19:00","4800,00","261,29","267,51"
"25/09/2022","20:00","4800,00","261,29","267,51"
"25/09/2022","21:00","4799,01","261,24","267,46"
"25/09/2022","22:00","4150,63","225,94","231,32"
"25/09/2022","23:00","3992,01","217,31","222,48"
